type,url,data
Exposed Sensitive File,https://google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com/.env,200 - /.env
Exposed Sensitive File,https://google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com/db.sql,200 - /db.sql
Exposed Sensitive File,https://google.com/advanced_search?hl=en-IN&fg=1/.env,200 - /.env
Exposed Sensitive File,https://google.com/advanced_search?hl=en-IN&fg=1/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/advanced_search?hl=en-IN&fg=1/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/advanced_search?hl=en-IN&fg=1/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/advanced_search?hl=en-IN&fg=1/db.sql,200 - /db.sql
Exposed Sensitive File,https://google.com/search/howsearchworks/?fg=1/.env,200 - /.env
Exposed Sensitive File,https://google.com/search/howsearchworks/?fg=1/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/search/howsearchworks/?fg=1/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/search/howsearchworks/?fg=1/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/search/howsearchworks/?fg=1/db.sql,200 - /db.sql
Exposed Sensitive File,https://google.com/history/optout?hl=en-IN&fg=1/.env,200 - /.env
Exposed Sensitive File,https://google.com/history/optout?hl=en-IN&fg=1/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/history/optout?hl=en-IN&fg=1/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/history/optout?hl=en-IN&fg=1/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/history/optout?hl=en-IN&fg=1/db.sql,200 - /db.sql
Exposed Sensitive File,https://google.com/webhp?tab=ww/.env,200 - /.env
Exposed Sensitive File,https://google.com/webhp?tab=ww/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/webhp?tab=ww/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/webhp?tab=ww/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/webhp?tab=ww/db.sql,200 - /db.sql
Exposed Sensitive File,https://google.com/preferences?hl=en-IN/.env,200 - /.env
Exposed Sensitive File,https://google.com/preferences?hl=en-IN/config.php,200 - /config.php
Exposed Sensitive File,https://google.com/preferences?hl=en-IN/.git/HEAD,200 - /.git/HEAD
Exposed Sensitive File,https://google.com/preferences?hl=en-IN/backup.zip,200 - /backup.zip
Exposed Sensitive File,https://google.com/preferences?hl=en-IN/db.sql,200 - /db.sql
